,idcode,year,birth_yr,age,race,msp,nev_mar,grade,collgrad,not_smsa,c_city,south,ind_code,occ_code,union,wks_ue,ttl_exp,tenure,hours,wks_work,ln_wage
2,1,72,51,20.0,black,1.0,0.0,12.0,0,0.0,1.0,0.0,4.0,6.0,1.0,0.0,2.2564101,0.9166667,40.0,51.0,1.5899774
5,1,77,51,25.0,black,0.0,0.0,12.0,0,0.0,1.0,0.0,12.0,8.0,0.0,0.0,3.775641,1.5,32.0,52.0,1.7786806
7,1,80,51,28.0,black,0.0,0.0,12.0,0,0.0,1.0,0.0,5.0,6.0,1.0,0.0,5.294872,1.8333334,45.0,75.0,2.5517154
9,1,85,51,33.0,black,0.0,0.0,12.0,0,0.0,1.0,0.0,5.0,6.0,1.0,0.0,7.1602564,1.9166666,42.0,97.0,2.6141725
10,1,87,51,35.0,black,0.0,0.0,12.0,0,0.0,0.0,0.0,5.0,6.0,1.0,0.0,8.98718,3.9166667,45.0,95.0,2.5363736
11,1,88,51,37.0,black,0.0,0.0,12.0,0,0.0,0.0,0.0,5.0,6.0,1.0,0.0,10.333334,5.3333335,48.0,70.0,2.4629273
12,2,71,51,19.0,black,1.0,0.0,12.0,0,0.0,1.0,0.0,4.0,3.0,0.0,19.0,0.71153843,0.25,40.0,13.0,1.3603482
16,2,77,51,25.0,black,1.0,0.0,12.0,0,0.0,1.0,0.0,4.0,6.0,1.0,0.0,3.2115386,2.6666667,40.0,52.0,1.726721
17,2,78,51,26.0,black,1.0,0.0,12.0,0,0.0,1.0,0.0,4.0,6.0,1.0,0.0,4.2115383,3.6666667,40.0,52.0,1.68991
20,2,83,51,31.0,black,1.0,0.0,12.0,0,0.0,1.0,0.0,4.0,6.0,1.0,12.0,8.583333,8.583333,38.0,37.0,1.863417
21,2,85,51,33.0,black,0.0,0.0,12.0,0,0.0,1.0,0.0,4.0,6.0,1.0,4.0,10.179487,1.8333334,38.0,83.0,1.7893666
23,2,88,51,37.0,black,0.0,0.0,12.0,0,0.0,1.0,0.0,4.0,5.0,1.0,0.0,13.621795,5.25,40.0,75.0,1.8564485
27,3,71,45,25.0,black,0.0,1.0,12.0,0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,3.4423077,1.4166666,40.0,53.0,1.5474197
28,3,72,45,26.0,black,0.0,1.0,12.0,0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,4.4423075,2.4166667,40.0,52.0,1.6072942
29,3,73,45,27.0,black,0.0,1.0,12.0,0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,5.3846154,3.3333333,40.0,49.0,1.5972669
31,3,77,45,31.0,black,0.0,1.0,12.0,0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,6.9423075,2.4166667,40.0,52.0,1.6228406
32,3,78,45,32.0,black,0.0,1.0,12.0,0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,7.980769,3.4166667,40.0,54.0,1.5666349
35,3,83,45,37.0,black,0.0,1.0,12.0,0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,12.615385,8.333333,40.0,45.0,1.6142294
37,3,87,45,41.0,black,0.0,1.0,12.0,0,0.0,1.0,0.0,4.0,3.0,0.0,14.0,16.346153,0.41666666,40.0,90.0,1.5257654
39,4,70,45,24.0,white,0.0,1.0,17.0,1,0.0,1.0,0.0,11.0,13.0,1.0,0.0,2.25,1.4166666,35.0,55.0,2.2885003
40,4,71,45,25.0,white,1.0,0.0,17.0,1,0.0,0.0,0.0,11.0,13.0,1.0,0.0,3.1923077,2.4166667,35.0,49.0,2.3755784
41,4,72,45,26.0,white,1.0,0.0,17.0,1,0.0,0.0,0.0,11.0,13.0,1.0,0.0,4.2115383,3.4166667,35.0,53.0,2.413923
44,4,80,45,34.0,white,1.0,0.0,17.0,1,0.0,0.0,0.0,11.0,13.0,0.0,0.0,5.6923075,0.33333334,45.0,16.0,1.4762361
46,4,83,45,37.0,white,1.0,0.0,17.0,1,0.0,0.0,0.0,11.0,13.0,0.0,0.0,8.384615,3.4166667,43.0,42.0,1.5158548
48,4,87,45,41.0,white,1.0,0.0,17.0,1,0.0,0.0,0.0,11.0,8.0,1.0,0.0,12.038461,0.33333334,42.0,86.0,1.9190345
49,4,88,45,43.0,white,1.0,0.0,17.0,1,0.0,0.0,0.0,11.0,13.0,1.0,0.0,13.211537,1.75,42.0,61.0,2.2009745
52,5,70,45,24.0,white,0.0,1.0,12.0,0,0.0,1.0,0.0,7.0,3.0,0.0,0.0,3.0769231,1.9166666,40.0,56.0,1.8208579
53,5,71,45,25.0,white,0.0,1.0,12.0,0,0.0,1.0,0.0,7.0,3.0,0.0,0.0,4.0384617,2.9166667,40.0,50.0,1.8585224
54,5,72,45,26.0,white,0.0,1.0,12.0,0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,5.0384617,0.6666667,40.0,52.0,1.9793015
55,5,73,45,27.0,white,0.0,1.0,12.0,0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,6.0384617,1.6666666,40.0,52.0,1.9904118
57,5,77,45,31.0,white,1.0,0.0,12.0,0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,7.5769234,1.75,40.0,52.0,1.9375215
60,5,82,45,36.0,white,1.0,0.0,12.0,0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,10.730769,3.3333333,40.0,72.0,1.8472722
64,6,71,46,24.0,white,0.0,0.0,12.0,0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,1.3846154,0.41666666,40.0,18.0,1.5185719
65,6,72,46,25.0,white,0.0,0.0,12.0,0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,2.4423077,1.4166666,43.0,55.0,1.6072942
66,6,73,46,26.0,white,0.0,0.0,12.0,0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,3.3846154,2.3333333,40.0,49.0,1.8097416
68,6,77,46,30.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,6.4166665,6.4166665,40.0,52.0,1.9631099
69,6,78,46,31.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,7.4358974,7.4166665,40.0,53.0,1.9827331
70,6,80,46,33.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,9.416667,9.416667,45.0,78.0,1.8467982
72,6,83,46,36.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,12.416667,12.416667,40.0,42.0,1.9199128
75,6,88,46,42.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,17.820513,17.75,48.0,73.0,2.0898535
78,7,70,49,21.0,white,1.0,0.0,12.0,0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,3.0576923,2.75,40.0,55.0,1.5394455
79,7,71,49,22.0,white,1.0,0.0,12.0,0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,4.0,3.75,40.0,49.0,1.4938796
80,7,72,49,23.0,white,1.0,0.0,12.0,0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,5.019231,4.75,40.0,53.0,1.4545732
82,7,87,49,37.0,white,1.0,0.0,12.0,0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,5.9038463,0.8333333,30.0,42.0,0.4733421
