,0
0,4099
1,4749
2,3799
3,4816
4,7827
5,5788
6,4453
7,5189
8,10372
9,4082
10,11385
11,14500
12,15906
13,3299
14,5705
15,4504
16,5104
17,3667
18,3955
19,3984
20,4010
21,5886
22,6342
23,4389
24,4187
25,11497
26,13594
27,13466
28,3829
29,5379
30,6165
31,4516
32,6303
33,3291
34,8814
35,5172
36,4733
37,4890
38,4181
39,4195
40,10371
41,4647
42,4425
43,4482
44,6486
45,4060
46,5798
47,4934
48,5222
49,4723
50,4424
51,4172
52,9690
53,6295
54,9735
55,6229
56,4589
57,5079
58,8129
59,4296
60,5799
61,4499
62,3995
63,12990
64,3895
65,3798
66,5899
67,3748
68,5719
69,7140
70,5397
71,4697
72,6850
73,11995
